"example_id","language","item","form","query","corpus","year","text","source","function","semantic_tags","syntactic_tags"
1392,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Děláme si z něj legraci , že kdyby zkusil 	_kterýkoli_ 	sport , byl by lepší než v házené . brankáře  , povolali","","CA","U","ca"
1393,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Když vystoupíte v 	_kterékoli_ 	zemi z letadla , první , s kým se na betonu potkáte , bude mravenec .","","CA","U","ca"
1394,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Blížíte-li se k Jostedalsbreenu z 	_kterékoli_ 	strany , jeví se vám jako obrovská bílá masa mezi skalnatými štíty , z níž vybíhají","","CA","U","ca"
1395,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Považoval bych za další ohrožování demokracie , kdyby se na kandidátkách 	_kterékoli_ 	strany znovu objevili lidé , kteří získávali prostředky z velmi podivných zdrojů","","CA","U","ca"
1396,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Je-li podle nich vůz uznán v 	_kterékoli_ 	členské zemi , je uznán všude ,","","CA","U","ca"
1397,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Když unaveni vejdete do 	_kterékoli_ 	chalupy , dají vám oběd nebo večeři .","","CA","U","ca"
1598,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Pokud bychom tuhle nabídku dali 	_kterémukoli_ 	jinému městu , hned po ní skočí , '' dodal Vnouček .","","CA","U","ca"
1599,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Později je lesníci použijí na mulčování . Zeptáte-li se 	_kteréhokoli_ 	z nich , proč se odebral do střední Evropy na mokrou práci v lese ,","","CA","U","ca"
1600,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Také jsem mu poručil , aby odvedl Mehunefer na 	_kteroukoli_ 	do Vesetu mířící loď se vší nezbytnou zdvořilostí -- a bude-li nutno , i násilím .","","IR|IR","E|E","Mod|MN-d"
1601,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"jiné z pověstí těmi ožralými jmenovaly Rumuny nebo Albánce nebo Čechy či víceméně 	_kterýkoli_ 	národ ,","","IND","E","VEp"
1602,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"opakoval ozvěnou velvyslanec Horlick Minton  . `` Znamenají  , Za vlast . '' A přidal ještě jeden verš . `` Za 	_kteroukoli_ 	vlast , '' zamumlal .","","UN","Unc","uncl"
1603,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"budiž vám odpuštěna myšlenka , že jste v 	_kterémkoli_ 	moderním městě vyskytujícím se kdekoli v Severní Americe .","","IND","E","Mod"
1604,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Ale byl jsem oddaný čtenář a mimo to až barbarsky eklektický , přímo posedlý psaným slovem -- téměř 	_kterýmkoli_ 	psaným slovem -- , a byl jsem tak vzrušivý , že to hraničilo až s pocity erotickými .","","AP","U","AD"
1605,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"A že si navíc vydělá tři tisíce dolarů za měsíc práce , která byla hračkou proti 	_kterékoli_ 	práci , co kdy dělal otec .","","AA","U","sub"
1606,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"a přece si podržely ještě trochu té staré nenapravitelné pozemské zkaženosti -- ten lehký spánek v 	_kteroukoli_ 	dobu , nuda , bdělé a nevrlé drnčení malých zvonků mezi půlnočními hodinami a líně se ploužícím svítáním","","IND","Ind","uncl"
1607,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Stejně ho mám ale rád . Je moc pohostinný , jak to má být , připravený na hosta a kus řeči v 	_kteroukoli_ 	hodinu . Nějakou tu lahvinku má vždycky po ruce .","","FC","U","uncl"
1608,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Osvobození židů z násilného , rdousivého svazku Starého zákona s Novým vyjevuje , že 	_kterákoli_ 	moc -- ať může co zmůže -- za smrt nemůže . Není moci v tomto světě s účinem zásvětným .","","UN","Unc","uncl"
1609,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"duchu nové vojenské doktríny , založené na principu dostatečné obranyschopnosti proti možnému ohrožení z 	_kteréhokoli_ 	směru .","","AA","FC","uncl"
1610,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Nesnesl jsem pomyšlení , že se s 	_kterýmkoli_ 	z nich budu muset rozloučit , ale současně jsem zvenčí slyšel hlášení z tlampačů","","IR","E","uncl"
1611,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"protože za těchto okolností nemohla být považována ani za vdanou ani za svobodnou , což bylo pro 	_kteroukoli_ 	americkou ženu v osmnáctém století velmi politováníhodné postavení .","","UFC","U","sub"
1612,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"nemohou bez Stalinova schválení souhlasit s jakýmkoli nasazením sil či výzbroje na 	_kterémkoli_ 	místě , pokud by to zdrželo nebo ohrozilo úspěch operace `` Overlord '' či `` Anvil '' .","","AM","U",""
1613,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Vojáci speciálních služeb mají téměř jistotu , že uvidí nebo uslyší v 	_kteroukoli_ 	denní i noční dobu cokoliv a kohokoli na jakoukoli vzdálenost .","","UFC","U","Mod"
1614,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Exoterický zasvěcenec je například 	_kterýkoli_ 	zednář nebo kterýkoli nižší žák nějaké theosofické nebo antroposofické společnosti .","","IND","Ind","uncl"
1615,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Ibišek v sultánově zahradě pěti rty ochotně prozrazuje tajemství mladé ženy : 	_kteroukoli_ 	dnešní hodinu nebo celý budoucí život dala by za dávnou maminčinu laskavost","","FC","FC","Mod"
1616,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Otázka je , zdali je 	_kterýkoli_ 	z nich natolik významný , abychom kvůli němu dělali zásadní teoretické rozlišení mezi tím , co","","Q","E",""
1617,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"veškerou pomoc při každé akci , kterou podnikne podle této Charty , a vystříhají se poskytování pomoci 	_kterémukoli_ 	státu , proti němuž Organizace spojených národů podniká preventivní neb donucovací akci .","","AA","U",""
1618,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"hrozí zpovědníkovi potrestání `` podle závažnosti zločinu '' , což je udělení 	_kteréhokoli_ 	z pořádkových nebo nápravných trestů , počítaje v to i uložení ekomunikace .","","IND","Ind",""
1619,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Trestné je i pouhé použití falešných zatímních listů nebo potvrzení a trestný je také pokus o 	_kterýkoli_ 	z obou činů .","","FC","FC","Mod"
1620,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Jisté ovšem je , že toto systematické zařazení není na újmu totožnému právu 	_kterékoli_ 	fyzické nebo právnické osoby s legálním bydlištěm nebo sídlem v členské státě Unie .","","AA|FC","U|U",""
1621,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"které jsou nezbytnou podmínkou dlouhodobé stability a rovnováhy 	_kteréhokoli_ 	systému na libovolné úrovni , tedy i systémů společenských .","","UFC|UFC","U|U","Mod|sub"
1622,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Ne každou barvu naneseš na 	_kterýkoli_ 	povrch : olejovou barvou nebudeš psát na papír , akvarelem na kov atd .","","UFC","U","uncl"
1623,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Proto je postačující , aby se o 	_kterémkoli_ 	slohu nebo experimentu prohlásilo , že je `soudobý' , a kritik pak má za to , že ho musí pochopit","","IR","E","suf"
1624,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Není třeba mít soucit s 	_kterýmkoli_ 	z ruských oligarchů , kteří se nelegálními cestami dostali k nezměrnému bohatství .","","AM","U",""
1625,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"z Jizerských hor , ale i jihočeský statek nebo docela obyčejný nestylový , opuštěný a vlhký domek v 	_kterékoli_ 	vesnici .","","IND","Ind","uncl"
1626,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Podání oxytocinu bylo podle Dr . O'Driscolla `` u všech případů standardním úkonem , který provádí 	_kterýkoli_ 	zdravotník ''","","IND","Ind","uncl"
1627,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"prostředí spojená s různými způsoby myšlení , potom tento smíšený typ myšlení nikdy nedá mozku příležitost 	_kterékoli_ 	z těchto prostředí ustálit .","","AM","U",""
1628,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Rejžákem ji musíme vydrhnout a zbavit ji tak všech obrazů Boha , které jsme získali na 	_kterémkoli_ 	stupni školního vzdělání , a vygumovat všechny výroky ,","","IND","Ind","VEp"
1629,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Až pro přípravu roztoku k titraci použijeme 	_kteréhokoli_ 	z uvedených postupů , rozpouštění pevné látky můžeme urychlovat jen mícháním krouživým pohybem","","IND","Ind",""
1630,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"příslušnými předpisy dopravce s výjimkou dopravy mezi místem ve Spojených státech amerických nebo Kanadou a 	_kterýmkoli_ 	jiným místem mimo jejich území , na kterou se vztahují tarify platné v těchto zemích .","","IND","Ind","uncl"
1631,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"příslušníkům evropského společenství jeví jako horší než všechny historické i přítomné blasfemie proti 	_kterékoli_ 	víře a ideologii euroasijského prostředí .","","AA","U",""
1632,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Oba státníci si uvědomují velmi dobře , že Evropa je jen jedna a občanská válka 	_kterékoli_ 	její části by ohrozila evropský mír a všechny ostatní země .","","FC","FC",""
1633,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Navázal osobní kontakty a vytvořil si možnosti pozvání v 	_kteroukoli_ 	dobu , mj  . i se studenty Spolkové republiky , kteří se jeví zpravodajsky zajímavými .","","FC","FC","Mod"
1634,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"nic horšího by dnes nemohlo potkat ani Rusko , ani 	_kteroukoli_ 	jinou z `` velkých '' svazových republik","","AA|FC","U|U",""
1635,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Nevím totiž , co jiného by měla a mohla dělat kterákoli politická strana a 	_kterýkoli_ 	český politik tváří v tvář skutečnosti , že si rozhodující část Slováků demokraticky zvolila V . Mečiara","","AM","U",""
1636,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Armáda stojí mimo politiku a v žádném případě nedovolím , aby byla zneužita 	_kteroukoli_ 	politickou silou .","","AA","U",""
1637,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Domnívám se , že k adekvátní interpretaci 	_kterékoli_ 	kultury je nutné , aby si interpretující znovu sám kladl otázky , které ji trápily","","UFC","U",""
1638,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Samozřejmě že ženy , které chtějí být současně dobrou matkou a výkonnou pracovnicí v 	_kterémkoli_ 	oboru , se těžko zbaví schizofrenie z toho plynoucí .","","IND","Ind",""
1639,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Stejně zůstanou pozadu za efektností 	_kteréhokoli_ 	výpravného velkofilmu .","","UFC","U","uncl"
1640,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Jestliže Vladimír Mečiar nebo 	_kterýkoli_ 	jeho nástupce přestane zpochybňovat nezpochybnitelné a vezme do ruky pero ,","","CA","U","ca"
1641,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Podle starostů je nesporným právem 	_kteréhokoli_ 	politického subjektu vyjádřit stanovisko k osobě vrcholného představitele státní správy okresu ,","","UFC","U",""
1642,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"V klíčovém 5 . článku smlouvy se signatáři zavazují k obraně teritoria 	_kteréhokoli_ 	signatářského státu , bude-li napaden .","","UFC","U","Mod"
1643,"Czech","kterykoli","","Kterykoli","Czech National Corpus",0,"Do bufetu nemohl být odeslán ani kterýkoli jiný pacient v 	_kteroukoli_ 	sobotu , neboť bufet měl každou sobotu zavřeno , o čemž dokonce existoval úřední doklad . . .","","AM","U",""
